user_id,age,gender,experience_level,experience_numeric,days_per_week,goal,location,program_id,program_name,program_difficulty,program_days_per_week
1,23,male,beginner,1,3,mass,gym,1,Full Body A,beginner,3
2,30,female,beginner,1,3,weight_loss,gym,11,Full Body Toning A,beginner,3
3,19,male,advanced,3,6,mass,gym,6,PPL A,advanced,6
4,25,female,beginner,1,3,toning,gym,11,Full Body Toning A,beginner,3
5,35,male,intermediate,2,4,strength,gym,10,Powerlifting Basics A,intermediate,3
6,28,female,advanced,3,5,weight_loss,home,18,HIIT Tabata A,advanced,1
7,22,male,beginner,1,3,mass,gym,2,Full Body B,beginner,3
8,27,female,intermediate,2,4,toning,gym,12,Glute Focused Split A,intermediate,4
9,32,male,advanced,3,6,strength,gym,7,PPL B,advanced,6
10,24,female,beginner,1,3,weight_loss,home,19,Pilates Core A,beginner,1
11,29,male,intermediate,2,4,mass,gym,4,Upper Lower A,intermediate,4
12,26,female,advanced,3,5,toning,home,20,Yoga Flow A,beginner,1
13,31,male,beginner,1,3,strength,home,14,Bodyweight Strength A,beginner,3
14,33,female,intermediate,2,4,weight_loss,home,21,Resistance Band A,intermediate,2
15,21,male,advanced,3,6,mass,street,25,Streetlifting A,advanced,1
16,34,female,beginner,1,3,toning,street,22,Outdoor Bodyweight A,beginner,1
17,20,male,intermediate,2,4,strength,home,15,Dumbbell Only A,intermediate,3
18,36,female,advanced,3,5,weight_loss,street,23,Cardio Strength A,intermediate,1
19,37,male,beginner,1,3,mass,street,17,Street Workout Basics A,intermediate,3
20,38,female,intermediate,2,4,toning,street,27,Step Bench A,beginner,1
21,39,male,advanced,3,6,strength,street,26,Pyramid Training A,advanced,1
22,40,female,beginner,1,3,weight_loss,home,30,Barre Workout A,intermediate,1
23,41,male,intermediate,2,4,mass,home,16,HIIT for Men A,advanced,5
24,42,female,advanced,3,5,toning,street,28,Light Calisthenics A,intermediate,1
25,43,male,beginner,1,3,strength,gym,3,Full Body C,beginner,3
26,44,female,intermediate,2,4,weight_loss,gym,13,Upper Lower Women A,intermediate,4
27,45,male,advanced,3,6,mass,gym,8,Bro Split A,advanced,5
28,46,female,beginner,1,3,toning,gym,12,Glute Focused Split A,intermediate,4
29,47,male,intermediate,2,4,strength,gym,9,Bro Split B,advanced,5
30,48,female,advanced,3,5,weight_loss,home,18,HIIT Tabata A,advanced,1
31,49,male,beginner,1,3,mass,gym,1,Full Body A,beginner,3
32,50,female,intermediate,2,4,toning,home,19,Pilates Core A,beginner,1
33,18,male,advanced,3,6,strength,gym,6,PPL A,advanced,6
34,22,female,beginner,1,3,weight_loss,home,20,Yoga Flow A,beginner,1
35,24,male,intermediate,2,4,mass,gym,4,Upper Lower A,intermediate,4
36,26,female,advanced,3,5,toning,home,21,Resistance Band A,intermediate,2
37,28,male,beginner,1,3,strength,home,14,Bodyweight Strength A,beginner,3
38,30,female,intermediate,2,4,weight_loss,street,22,Outdoor Bodyweight A,beginner,1
39,32,male,advanced,3,6,mass,street,25,Streetlifting A,advanced,1
40,34,female,beginner,1,3,toning,street,23,Cardio Strength A,intermediate,1
41,36,male,intermediate,2,4,strength,street,17,Street Workout Basics A,intermediate,3
42,38,female,advanced,3,5,weight_loss,street,27,Step Bench A,beginner,1
43,40,male,beginner,1,3,mass,street,26,Pyramid Training A,advanced,1
44,42,female,intermediate,2,4,toning,home,30,Barre Workout A,intermediate,1
45,44,male,advanced,3,6,strength,home,16,HIIT for Men A,advanced,5
46,46,female,beginner,1,3,weight_loss,street,28,Light Calisthenics A,intermediate,1
47,48,male,intermediate,2,4,mass,gym,3,Full Body C,beginner,3
48,50,female,advanced,3,5,toning,gym,13,Upper Lower Women A,intermediate,4
49,19,male,beginner,1,3,strength,gym,2,Full Body B,beginner,3
50,21,female,intermediate,2,4,weight_loss,gym,11,Full Body Toning A,beginner,3
51,23,male,advanced,3,6,mass,gym,7,PPL B,advanced,6
52,25,female,beginner,1,3,toning,gym,12,Glute Focused Split A,intermediate,4
53,27,male,intermediate,2,4,strength,gym,5,Upper Lower B,intermediate,4
54,29,female,advanced,3,5,weight_loss,home,18,HIIT Tabata A,advanced,1
55,31,male,beginner,1,3,mass,home,15,Dumbbell Only A,intermediate,3
56,33,female,intermediate,2,4,toning,home,19,Pilates Core A,beginner,1
57,35,male,advanced,3,6,strength,home,14,Bodyweight Strength A,beginner,3
58,37,female,beginner,1,3,weight_loss,home,20,Yoga Flow A,beginner,1
59,39,male,intermediate,2,4,mass,home,21,Resistance Band A,intermediate,2
60,41,female,advanced,3,5,toning,street,22,Outdoor Bodyweight A,beginner,1
61,43,male,beginner,1,3,strength,street,23,Cardio Strength A,intermediate,1
62,45,female,intermediate,2,4,weight_loss,street,27,Step Bench A,beginner,1
63,47,male,advanced,3,6,mass,street,25,Streetlifting A,advanced,1
64,49,female,beginner,1,3,toning,street,28,Light Calisthenics A,intermediate,1
65,20,male,intermediate,2,4,strength,home,30,Barre Workout A,intermediate,1
66,22,female,advanced,3,5,weight_loss,home,16,HIIT for Men A,advanced,5
67,24,male,beginner,1,3,mass,gym,1,Full Body A,beginner,3
68,26,female,intermediate,2,4,toning,gym,11,Full Body Toning A,beginner,3
69,28,male,advanced,3,6,strength,gym,6,PPL A,advanced,6
70,30,female,beginner,1,3,weight_loss,gym,13,Upper Lower Women A,intermediate,4
71,32,male,intermediate,2,4,mass,gym,4,Upper Lower A,intermediate,4
72,34,female,advanced,3,5,toning,gym,12,Glute Focused Split A,intermediate,4
73,36,male,beginner,1,3,strength,gym,2,Full Body B,beginner,3
74,38,female,intermediate,2,4,weight_loss,gym,3,Full Body C,beginner,3
75,40,male,advanced,3,6,mass,gym,8,Bro Split A,advanced,5
76,42,female,beginner,1,3,toning,gym,9,Bro Split B,advanced,5
77,44,male,intermediate,2,4,strength,gym,5,Upper Lower B,intermediate,4
78,46,female,advanced,3,5,weight_loss,gym,10,Powerlifting Basics A,intermediate,3
79,48,male,beginner,1,3,mass,home,15,Dumbbell Only A,intermediate,3
80,50,female,intermediate,2,4,toning,home,14,Bodyweight Strength A,beginner,3
81,18,male,advanced,3,6,strength,street,17,Street Workout Basics A,intermediate,3
82,20,female,beginner,1,3,weight_loss,street,22,Outdoor Bodyweight A,beginner,1
83,22,male,intermediate,2,4,mass,street,26,Pyramid Training A,advanced,1
84,24,female,advanced,3,5,toning,street,23,Cardio Strength A,intermediate,1
85,26,male,beginner,1,3,strength,street,27,Step Bench A,beginner,1
86,28,female,intermediate,2,4,weight_loss,street,28,Light Calisthenics A,intermediate,1
87,30,male,advanced,3,6,mass,home,30,Barre Workout A,intermediate,1
88,32,female,beginner,1,3,toning,home,19,Pilates Core A,beginner,1
89,34,male,intermediate,2,4,strength,home,20,Yoga Flow A,beginner,1
90,36,female,advanced,3,5,weight_loss,home,21,Resistance Band A,intermediate,2
91,38,male,beginner,1,3,mass,home,16,HIIT for Men A,advanced,5
92,40,female,intermediate,2,4,toning,home,18,HIIT Tabata A,advanced,1
93,42,male,advanced,3,6,strength,home,14,Bodyweight Strength A,beginner,3
94,44,female,beginner,1,3,weight_loss,street,22,Outdoor Bodyweight A,beginner,1
95,46,male,intermediate,2,4,mass,street,25,Streetlifting A,advanced,1
96,48,female,advanced,3,5,toning,street,27,Step Bench A,beginner,1
97,50,male,beginner,1,3,strength,street,28,Light Calisthenics A,intermediate,1
98,19,female,intermediate,2,4,weight_loss,gym,11,Full Body Toning A,beginner,3
99,21,male,advanced,3,6,mass,gym,7,PPL B,advanced,6
100,23,female,beginner,1,3,toning,gym,12,Glute Focused Split A,intermediate,4